id,title,normalized_title,level,category,company,location,salary,full_time,part_time,internship,temporary,updated,collected_at
6474218812748129929,Machine Learning Engineer,machine learning engineer,Middle,ML / AI Engineer,The Fourth Law,Київ,,1,0,0,0,2026-05-05,2026-05-16
2036450056538235475,Middle/Senior DevOps Engineer,middle senior devops engineer,Middle,DevOps / SRE Engineer,IdeaSoft.io,Київ,,1,0,0,0,2026-04-22,2026-05-16
-4087783508475798157,DevOps Engineer (2604),devops engineer 2604,Middle,DevOps / SRE Engineer,Ciklum,Київ,,1,0,0,0,2026-05-12,2026-05-16
1617066576380540966,IT Project Manager / Business Analyst,it project manager business analyst,Middle,Business Analyst,Perspective,Київ,,1,0,0,0,2026-04-28,2026-05-16
90312324878394815,Software Engineer,software engineer,Middle,Software / Embedded Engineer,The Fourth Law,Київ,,1,0,0,0,2026-04-17,2026-05-16
2470778230748947372,Data Scientist Middle,data scientist middle,Middle,ML / AI Engineer,Uklon,Київ,,1,0,0,0,2026-05-13,2026-05-16
8228760655082483299,Business/System Analyst,business system analyst,Middle,Business Analyst,Banza,Київ,,1,0,0,0,2026-05-04,2026-05-16
-2963714951776089072,Business Analyst — iGaming Products,business analyst igaming products,Middle,Business Analyst,King Group,Київ,,1,0,0,0,2026-04-23,2026-05-16
-7732480995025510727,iOS Software Engineer,ios software engineer,Middle,Software / Embedded Engineer,SQUAD,Київ,,1,0,0,0,2026-04-20,2026-05-16
6024995193449424089,Senior/Lead Python Engineer with AI,senior lead python engineer with ai,Senior,Python Developer,EPAM,Київ,,1,0,0,0,2026-05-11,2026-05-16
1730479797835208048,Mobile Automation QA,mobile automation qa,Middle,QA Automation Engineer,"Медична лабораторія ""DILA""",Київ,,1,0,0,0,2026-05-04,2026-05-16
-8063601264107914929,Senior DevOps Engineer (2843),senior devops engineer 2843,Senior,DevOps / SRE Engineer,Ciklum,Київ,,1,0,0,0,2026-04-28,2026-05-16
